,created_at,likes,retweets,source,text
43,2020-01-30 08:56:02,4470.0,941.0,Twitter for iPhone,বাপুজীৰ এই পুণ্য তিথিত অসমত যোৱা ৫ দশক ধৰি চলি অহা বড়ো সমস্যাৰ সমাধান হৈছে। বড়ো সংগঠন আৰু চৰকাৰৰ মাজত হোৱা বুজাবু… https://t.co/JVCdFDQP2e
44,2020-01-30 08:55:05,11050.0,2322.0,Twitter for iPhone,"बोडो साथियों द्वारा शांति का मार्ग अपनाना, हर क्षेत्र के लिए संदेश है। हिंसा छोड़कर, लोकतंत्र एवं संविधान में आस्था… https://t.co/Mzgx529aGE"
45,2020-01-30 08:54:44,6122.0,1435.0,Twitter for iPhone,Bodo friends joining us on path of peace sends a clear message that solution to issues is possible when we leave pa… https://t.co/6BrfDVUe64
46,2020-01-30 08:54:19,2910.0,735.0,Twitter for iPhone,Ang Boro bithangmwnni gubwi daharao fwinaini unao jouganaikhou orai hasthayw. Sorkara Boro wngswlkhou jougakhang hwnw sotbangsa layw.
47,2020-01-30 08:54:18,8026.0,1413.0,Twitter for iPhone,Boro bithangmwnha gwjwnni lama najaonaya gasibw wnswlni thakhai mwnse bidinthi jabai. Hingsakhou nagarnanwi subung… https://t.co/2yqkWp241A
48,2020-01-30 08:53:42,2463.0,632.0,Twitter for iPhone,आं बर' बिथांमोननि गुबै दाहाराव फैनायनि उनाव जौगानायखौ अराय हास्थायो। सरकारा बर' ओनसोलखौ जौगाखां होनो सतबांसा लायो।
49,2020-01-30 08:53:42,4893.0,994.0,Twitter for iPhone,बर' बिथांमोनहा गोजोननि लामा नाजावनाया गासिबो ओनसोलनि थाखाय मोनसे बिदिन्थि जाबाय। हिंसाखौ नागारनानै सुबुं खान्थि एबा… https://t.co/7uDyrQ9Z9R
50,2020-01-30 08:52:53,8123.0,1840.0,Twitter for iPhone,बोडो संगठनों से ऐतिहासिक समझौते के बाद अब सरकार की सर्वोच्च प्राथमिकता बोडो क्षेत्रों का विकास है। इसके लिए 1500 क… https://t.co/c8vFB7Nc7u
51,2020-01-30 08:52:17,6076.0,1426.0,Twitter for iPhone,"After signing this historic agreement with Bodo organizations, foremost priority of our govt is development of Bodo… https://t.co/qZ3mF4ibIb"
52,2020-01-30 08:51:39,3613.0,869.0,Twitter for iPhone,"Boro bithangmwnni jiu khangnaiya jahathe gwrlwi jayw, sorkarni bithangkhiphwrkhou biswrw thwjase mwnnw hayw, beni s… https://t.co/fROyDRDEpI"
53,2020-01-30 08:51:37,10695.0,2127.0,Twitter for iPhone,Boroni afadphwrjwng jariminari gwrwbtha khalamnaini unao da sorkarni sigangsin habayanw jabai Boro wnswlkhou jougah… https://t.co/5CwRsJfpRZ
54,2020-01-30 08:51:00,2310.0,601.0,Twitter for iPhone,"बर' बिथांमोननि जिउ खांनाया जाहाथे गोरलै जायो, सरकारनि बिथांखिफोरखौ बिसोरो थोजासे मोननो हायो, बेनि सायावबो जर'खायै नाजानाय जागोन।"
55,2020-01-30 08:50:57,4783.0,949.0,Twitter for iPhone,बर'नि आफादफोरजों जारिमिनारि गोरोबथा खालामनायनि उनाव दा सरकारनि सिगांसिन हाबायानो जाबाय बर' ओनसोलखौ जौगा होनाय। बेनि… https://t.co/fwU6J50Tzg
56,2020-01-30 08:49:45,8445.0,1628.0,Twitter for iPhone,पूज्य बापू की पुण्यतिथि पर असम में शांति और विकास का ऐतिहासिक और नवीन अध्याय जुड़ा है। करीब 50 साल के लंबे इंतजार… https://t.co/4CUZqvqqnH
57,2020-01-30 08:49:00,5773.0,1213.0,Twitter for iPhone,"As India remembers Pujya Bapu on his Punya Tithi, Assam is witnessing a historic chapter for peace and development.… https://t.co/JGBnMmr1Q7"
58,2020-01-30 08:48:18,2581.0,640.0,Twitter for iPhone,"Be gwrwbthaya Boro wnswlao jougathai labwnaijwng lwgwse Assamni khousethikhou gwkhrwngsin khalamgwn, Assamni eunkho… https://t.co/iMApVKfb8j"
59,2020-01-30 08:48:17,7127.0,1320.0,Twitter for iPhone,Phujinang Bapuni gwthar rungsari sanao Assamao gwjwn arw jariminari jougathai arw gwdan aidaya dajabder jabaobai. P… https://t.co/fQPEucI1Jz
60,2020-01-30 08:47:43,2402.0,591.0,Twitter for iPhone,"बे गोरोबथाया बर' ओनसोलाव जौगाथाय लाबोनायजों लोगोसे आसामनि खौसेथिखौ गोख्रोंसिन खालामगोन, आसामनि इयुनखौ आरोबाव गोजोंसिन खालामगोन।"
61,2020-01-30 08:47:42,5801.0,1091.0,Twitter for iPhone,फुजिनां बापुनि गोथार रुंसारि सानाव आसामाव गोजोन आरो जारिमिनारि जौगायथाय आरो गोदान आयदाया दाजाबदेर जाबावबाय। फ्राय 5… https://t.co/ZVz2xCLqAZ
62,2020-01-30 07:59:46,9803.0,1675.0,Twitter for iPhone,The award is a token of affection from 130 crore Indians to the Rt Hon Sir @AJugnauth for his continuous efforts to… https://t.co/5UD5eDW6yx
63,2020-01-30 04:13:11,14845.0,2200.0,Twitter for iPhone,Best wishes to Shri @PrakashJavdekar Ji on his birthday. He is widely admired for his down-to-earth and affable nat… https://t.co/JQe5nMO56K
64,2020-01-30 04:12:11,36991.0,6219.0,Twitter for iPhone,प्रकृति के नव हर्ष और नव उत्कर्ष से जुड़े पर्व बसंत पंचमी की सभी देशवासियों को हार्दिक बधाई। विद्यादायिनी मां सरस्व… https://t.co/OrVvdUurHV
65,2020-01-30 04:04:57,45549.0,5751.0,Twitter for iPhone,"राष्ट्रपिता महात्मा गांधी की पुण्यतिथि पर उन्हें कोटि-कोटि नमन। पूज्य बापू के व्यक्तित्व, विचार और आदर्श हमें सशक्त… https://t.co/YK3k5cSI4S"
66,2020-01-29 14:47:45,43287.0,5832.0,Twitter for iPhone,Attended the splendid ‘Beating Retreat’ Ceremony. Here are some glimpses. https://t.co/BX3FVHZqju
67,2020-01-28 14:39:23,14532.0,2939.0,Twitter for iPhone,"Addressed the Global Potato Conclave at Gandhinagar via video-conferencing. 

Shared how Indian farmers are taking… https://t.co/ZXhwJhW5hT"
